"track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","multiple_artist","top100","rank","Major","Minor","CSharp","FSharp","D","ASharp","GSharp","G","B","A","E","DSharp","F","taylor_swift","bad_bunny","the_weeknd","drake","peso_pluma"
"Ella Baila Sola","eslabon armado, peso pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418,148,67,83,76,48,0,8,3,1,0,"Top 500",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"About Damn Time","lizzo",1,2022,7,15,2332,2,723894473,0,0,25,0,0,109,84,72,74,10,0,34,7,0,0,"Top 500",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"About Damn Time","lizzo",1,2022,4,14,9021,0,723894473,242,49,272,21,24,109,84,72,74,10,0,34,7,0,0,"Top 500",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"we fell in love in october","girl in red",1,2018,11,21,6858,0,723043854,31,21,15,0,4,130,57,24,37,11,18,16,3,0,0,"Top 500",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Shakira: Bzrp Music Sessions, Vol. 53","shakira, bizarrap",2,2023,1,11,5724,44,721975598,119,108,254,29,22,122,78,50,63,27,0,9,5,1,0,"Top 500",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quï¿½ï¿½ Mï¿½ï¿","j balvin, maria becerra",2,2021,1,28,8087,0,720825549,92,34,131,0,0,102,89,77,82,3,0,17,11,1,0,"Top 500",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Left and Right (Feat. Jung Kook of BTS)","charlie puth, bts, jung kook",3,2022,6,24,3107,39,720434240,38,0,4,0,0,101,88,72,59,62,0,9,3,1,0,"Top 500",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAMIII","karol g, becky g",2,2022,2,10,6809,28,716591492,151,102,175,5,29,94,84,90,70,9,0,14,8,1,0,"Top 500",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SNAP","rosa linn",1,2022,3,19,1818,0,711366595,3,0,63,0,353,170,56,52,64,11,0,45,7,0,0,"Top 500",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I Was Never There","the weeknd, gesaffelstein",2,2018,3,29,4188,15,705469769,30,70,142,0,27,114,32,17,74,14,0,17,3,1,0,"Top 500",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Master of Puppets (Remastered)","metallica",1,1986,3,3,6080,0,704171068,112,198,406,1,0,105,54,59,83,0,44,20,4,0,0,"Top 500",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bound 2","kanye west",1,2013,1,1,19806,7,703301727,33,11,274,0,0,149,37,28,66,14,0,9,5,0,0,"Top 500",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"After Hours","the weeknd",1,2020,2,19,8084,6,698086140,45,115,218,1,221,109,66,16,57,10,1,12,3,0,0,"Top 500",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"First Class","jack harlow",1,2022,4,8,8737,0,694525298,163,32,137,15,12,107,91,32,56,3,0,11,10,0,0,"Top 500",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Snowman","sia",1,2017,1,1,5140,0,690104769,85,110,500,0,NA,105,72,33,51,48,0,9,3,0,0,"Top 500",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lost in the Fire","the weeknd, gesaffelstein",2,2019,1,11,7731,2,686734357,110,145,447,0,46,101,66,18,68,9,0,12,4,1,0,"Top 500",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"A Tu Merced","bad bunny",1,2020,2,29,4214,11,685071800,21,20,40,0,0,92,86,89,79,17,0,11,6,0,0,"Top 500",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Donï¿½ï¿½ï¿½t Bl","taylor swift",1,2017,11,8,4875,23,685032533,19,45,0,0,10,136,62,19,53,11,0,6,4,0,0,"Top 500",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Reminder","the weeknd",1,2016,11,25,6518,17,684675814,45,85,238,1,47,160,71,40,50,16,0,16,22,0,0,"Top 500",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Una Noche en Medellï¿½","cris mj",1,2022,1,21,5415,32,682475162,46,16,53,1,2,96,87,82,53,10,0,5,8,0,0,"Top 500",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
